Study,Site,Soil C (mg/cm3)*,Soil N (mg/cm3)*,Microbial biomass C (mg/cm3),Microbial biomass N (mg/cm3),SOC,SON,MBC,MBN,MBC as % of soil C,MBN as % of soil N,Soil C:N,Inorganic nitrogen (ug/cm3),Respiration (ug C/cm3*hr),Net N mineralization (ug/cm3*hr)
Cleveland and Liptzin,Forest,154.35,NA,1.6506,0.2667,10.29,NA,0.11004,0.01778,1.069387755,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,154.35,NA,0.99,0.1533,10.29,NA,0.066,0.01022,0.641399417,NA,NA,NA,NA,NA
Cleveland and Liptzin,Forest,66.0006,5.25,0,0.21,4.40004,0.35,0,0.014,0,4,12.57154286,NA,NA,NA
Cleveland and Liptzin,Forest,NA,NA,23.9112,5.7036,NA,NA,1.59408,0.38024,NA,NA,NA,NA,NA,NA
Cleveland and Liptzin,Grassland,NA,NA,16.7832,4.557,NA,NA,1.11888,0.3038,NA,NA,NA,NA,NA,NA
Colman and Schimel,"Bear Brook Watershed, ME",192,9.45,NA,NA,12.8,0.63,NA,NA,NA,NA,20.31746032,NA,0.40625,0.00875
Colman and Schimel,"Bear Brook Watershed, ME",78,3.6,NA,NA,5.2,0.24,NA,NA,NA,NA,21.66666667,NA,0.1625,0.00125
Colman and Schimel,"Bousson Experimental Forest, PA",96,7.05,NA,NA,6.4,0.47,NA,NA,NA,NA,13.61702128,NA,0.40625,0.06875
Colman and Schimel,"Bousson Experimental Forest, PA",142.5,9.45,NA,NA,9.5,0.63,NA,NA,NA,NA,15.07936508,NA,0.49375,0.06625
Colman and Schimel,"Badlands National Park, SD",46.5,3.15,NA,NA,3.1,0.21,NA,NA,NA,NA,14.76190476,NA,0.66875,NA
Colman and Schimel,"Bonanza Creek LTER, AK",45,2.4,NA,NA,3,0.16,NA,NA,NA,NA,18.75,NA,0.35,NA
Colman and Schimel,"Bonanza Creek LTER, AK",45,2.25,NA,NA,3,0.15,NA,NA,NA,NA,20,NA,0.675,0.024375
Colman and Schimel,"Bonanza Creek LTER, AK",55.5,2.7,NA,NA,3.7,0.18,NA,NA,NA,NA,20.55555556,NA,0.825,0.000625
Colman and Schimel,"Cedar Mountain, AZ",25.5,1.95,NA,NA,1.7,0.13,NA,NA,NA,NA,13.07692308,NA,0.1875,0.02375
Colman and Schimel,"Cedar Mountain, AZ",33,2.4,NA,NA,2.2,0.16,NA,NA,NA,NA,13.75,NA,0.14375,0.006875
Colman and Schimel,"Cedar Mountain, AZ",22.5,1.8,NA,NA,1.5,0.12,NA,NA,NA,NA,12.5,NA,0.04375,0.005625
Colman and Schimel,"Cedar Creek LTER, MN",28.5,1.95,NA,NA,1.9,0.13,NA,NA,NA,NA,14.61538462,NA,0.31875,0.01125
Colman and Schimel,"Catskills, NY",39,2.85,NA,NA,2.6,0.19,NA,NA,NA,NA,13.68421053,NA,0.11875,0.036875
Colman and Schimel,"Catskills, NY",61.5,3.15,NA,NA,4.1,0.21,NA,NA,NA,NA,19.52380952,NA,0.19375,0.0375
Colman and Schimel,"Catskills, NY",64.5,3.9,NA,NA,4.3,0.26,NA,NA,NA,NA,16.53846154,NA,0.16875,0.026875
Colman and Schimel,"Calhoun Experimental Forest, SC",34.5,1.8,NA,NA,2.3,0.12,NA,NA,NA,NA,19.16666667,NA,0.3875,0.03
Colman and Schimel,"Calhoun Experimental Forest, SC",34.5,2.7,NA,NA,2.3,0.18,NA,NA,NA,NA,12.77777778,NA,0.3375,0.01625
Colman and Schimel,"Calhoun Experimental Forest, SC",18,0.75,NA,NA,1.2,0.05,NA,NA,NA,NA,24,NA,0.34375,0.0075
Colman and Schimel,"Calhoun Experimental Forest, SC",25.5,1.95,NA,NA,1.7,0.13,NA,NA,NA,NA,13.07692308,NA,0.18125,0.019375
Colman and Schimel,"Clymer Meadow Preserve, TX",45,3.6,NA,NA,3,0.24,NA,NA,NA,NA,12.5,NA,0.15625,0.004375
Colman and Schimel,"Front Range near Ft. Collins, CO",24,1.2,NA,NA,1.6,0.08,NA,NA,NA,NA,20,NA,0.40625,0.045
Colman and Schimel,"Front Range near Ft. Collins, CO",27,0.9,NA,NA,1.8,0.06,NA,NA,NA,NA,30,NA,0.74375,0.005
Colman and Schimel,"Shortgrass Steppe LTER, CO",12.3,1.05,NA,NA,0.82,0.07,NA,NA,NA,NA,11.71428571,NA,0.2125,0.0425
Colman and Schimel,"Coffey Ranch, TX",42,4.05,NA,NA,2.8,0.27,NA,NA,NA,NA,10.37037037,NA,0.23125,0.000625
Colman and Schimel,"Duke Forest, NC",42,1.05,NA,NA,2.8,0.07,NA,NA,NA,NA,40,NA,0.9375,NA
Colman and Schimel,"Duke Forest, NC",82.5,4.5,NA,NA,5.5,0.3,NA,NA,NA,NA,18.33333333,NA,1.525,0.0575
Colman and Schimel,"Duke Forest, NC",25.5,1.05,NA,NA,1.7,0.07,NA,NA,NA,NA,24.28571429,NA,0.3625,0.038125
Colman and Schimel,"Great Basin Experimental Range, UT",42,3.45,NA,NA,2.8,0.23,NA,NA,NA,NA,12.17391304,NA,0.45625,0.005
Colman and Schimel,"Great Basin Experimental Range, UT",103.5,7.95,NA,NA,6.9,0.53,NA,NA,NA,NA,13.01886792,NA,0.4375,0.0125
Colman and Schimel,"Great Basin Experimental Range, UT",85.5,6,NA,NA,5.7,0.4,NA,NA,NA,NA,14.25,NA,0.44375,0.00625
Colman and Schimel,"Great Basin Experimental Range, UT",54,4.35,NA,NA,3.6,0.29,NA,NA,NA,NA,12.4137931,NA,0.35,0.01125
Colman and Schimel,"Great Basin Experimental Range, UT",25.5,2.1,NA,NA,1.7,0.14,NA,NA,NA,NA,12.14285714,NA,0.4625,0.0225
Colman and Schimel,"Great Basin Experimental Range, UT",33,3,NA,NA,2.2,0.2,NA,NA,NA,NA,11,NA,0.26875,0.00125
Colman and Schimel,"Harvard Forest LTER, MA",192,8.55,NA,NA,12.8,0.57,NA,NA,NA,NA,22.45614035,NA,1.15,0.023125
Colman and Schimel,"Harvard Forest LTER, MA",144,6.9,NA,NA,9.6,0.46,NA,NA,NA,NA,20.86956522,NA,0.78125,0.058125
Colman and Schimel,"Hawai'i, HI",16.5,1.5,NA,NA,1.1,0.1,NA,NA,NA,NA,11,NA,0.04375,0.001875
Colman and Schimel,"Hawai'i, HI",238.5,21.6,NA,NA,15.9,1.44,NA,NA,NA,NA,11.04166667,NA,0.89375,NA
Colman and Schimel,"Hawai'i, HI",273,24.3,NA,NA,18.2,1.62,NA,NA,NA,NA,11.2345679,NA,0.9125,NA
Colman and Schimel,"Hawai'i, HI",162,10.65,NA,NA,10.8,0.71,NA,NA,NA,NA,15.21126761,NA,1.525,0
Colman and Schimel,"HJ Andrews LTER, OR",105,2.85,NA,NA,7,0.19,NA,NA,NA,NA,36.84210526,NA,0.40625,0
Colman and Schimel,"HJ Andrews LTER, OR",114,4.35,NA,NA,7.6,0.29,NA,NA,NA,NA,26.20689655,NA,0.375,0.0275
Colman and Schimel,"Institute for Ecosystem Studies, NY",40.5,3.45,NA,NA,2.7,0.23,NA,NA,NA,NA,11.73913043,NA,0.49375,0.0025
Colman and Schimel,"Institute for Ecosystem Studies, NY",61.5,4.65,NA,NA,4.1,0.31,NA,NA,NA,NA,13.22580645,NA,0.725,0.025625
Colman and Schimel,"Institute for Ecosystem Studies, NY",96,7.95,NA,NA,6.4,0.53,NA,NA,NA,NA,12.0754717,NA,1,0.07375
Colman and Schimel,"Institute for Ecosystem Studies, NY",49.5,4.2,NA,NA,3.3,0.28,NA,NA,NA,NA,11.78571429,NA,0.70625,0.006875
Colman and Schimel,"Institute for Ecosystem Studies, NY",79.5,6.15,NA,NA,5.3,0.41,NA,NA,NA,NA,12.92682927,NA,1.575,0
Colman and Schimel,"Itasca State Park, MN",94.5,4.2,NA,NA,6.3,0.28,NA,NA,NA,NA,22.5,NA,1.175,NA
Colman and Schimel,"Itasca State Park, MN",58.5,2.55,NA,NA,3.9,0.17,NA,NA,NA,NA,22.94117647,NA,1.1875,0.01
Colman and Schimel,"Konza Prairie LTER, KS",91.5,6.75,NA,NA,6.1,0.45,NA,NA,NA,NA,13.55555556,NA,0.34375,0.015625
Colman and Schimel,"Konza Prairie LTER, KS",69,5.25,NA,NA,4.6,0.35,NA,NA,NA,NA,13.14285714,NA,0.3,0.008125
Colman and Schimel,"Konza Prairie LTER, KS",103.5,5.85,NA,NA,6.9,0.39,NA,NA,NA,NA,17.69230769,NA,0.14375,0.00875
Colman and Schimel,"Luquillo LTER, PR",210,8.55,NA,NA,14,0.57,NA,NA,NA,NA,24.56140351,NA,0.3375,NA
Colman and Schimel,"Luquillo LTER, PR",61.5,4.8,NA,NA,4.1,0.32,NA,NA,NA,NA,12.8125,NA,0.45,0.005
Colman and Schimel,"Luquillo LTER, PR",96,4.2,NA,NA,6.4,0.28,NA,NA,NA,NA,22.85714286,NA,0.21875,0.0025
Colman and Schimel,"Mojave Desert, CA",1.2,0.3,NA,NA,0.08,0.02,NA,NA,NA,NA,4,NA,0.0125,0
Colman and Schimel,"Mojave Desert, CA",6.3,0.75,NA,NA,0.42,0.05,NA,NA,NA,NA,8.4,NA,0.1875,0.03
Colman and Schimel,"Mojave Desert, CA",1.8,0.3,NA,NA,0.12,0.02,NA,NA,NA,NA,6,NA,0.08125,0.0075
Colman and Schimel,"Mojave Desert, CA",1.8,0.3,NA,NA,0.12,0.02,NA,NA,NA,NA,6,NA,0.01875,0
Colman and Schimel,"Mojave Desert, CA",8.55,0.9,NA,NA,0.57,0.06,NA,NA,NA,NA,9.5,NA,0.50625,0.060625
Colman and Schimel,"Mary's Peak, OR",160.5,10.95,NA,NA,10.7,0.73,NA,NA,NA,NA,14.65753425,NA,0.4625,0.0325
Colman and Schimel,"Mary's Peak, OR",148.5,8.1,NA,NA,9.9,0.54,NA,NA,NA,NA,18.33333333,NA,0.55,0.058125
Colman and Schimel,"USDA Grassland Research Center, TX",58.5,4.8,NA,NA,3.9,0.32,NA,NA,NA,NA,12.1875,NA,0.15,0.019375
Colman and Schimel,"USDA Grassland Research Center, TX",57,4.65,NA,NA,3.8,0.31,NA,NA,NA,NA,12.25806452,NA,0.1375,NA
Colman and Schimel,"Sunset Crater, AZ",34.5,1.95,NA,NA,2.3,0.13,NA,NA,NA,NA,17.69230769,NA,0.3125,0.0225
Colman and Schimel,"Sunset Crater, AZ",37.5,2.25,NA,NA,2.5,0.15,NA,NA,NA,NA,16.66666667,NA,0.46875,0.046875
Colman and Schimel,"Sunset Crater, AZ",34.5,1.95,NA,NA,2.3,0.13,NA,NA,NA,NA,17.69230769,NA,0.06875,NA
Colman and Schimel,"Santa Barbara, CA",40.5,2.4,NA,NA,2.7,0.16,NA,NA,NA,NA,16.875,NA,0.58125,0.01125
Colman and Schimel,"Sierra Nevada Mts., CA",64.5,2.85,NA,NA,4.3,0.19,NA,NA,NA,NA,22.63157895,NA,0.9125,NA
Colman and Schimel,"Sierra Nevada Mts., CA",5.85,0.45,NA,NA,0.39,0.03,NA,NA,NA,NA,13,NA,0.05,0.00625
Colman and Schimel,"Sierra Nevada Mts., CA",25.5,1.8,NA,NA,1.7,0.12,NA,NA,NA,NA,14.16666667,NA,0.53125,0.056875
Colman and Schimel,"Sequoia National Park, CA",25.5,1.35,NA,NA,1.7,0.09,NA,NA,NA,NA,18.88888889,NA,0.63125,0.003125
Colman and Schimel,"Sequoia National Park, CA",121.5,7.65,NA,NA,8.1,0.51,NA,NA,NA,NA,15.88235294,NA,0.5125,NA
Colman and Schimel,"Sedgwick Reserve, CA",69,6.15,NA,NA,4.6,0.41,NA,NA,NA,NA,11.2195122,NA,0.4875,0.028125
Colman and Schimel,"Sedgwick Reserve, CA",22.5,1.95,NA,NA,1.5,0.13,NA,NA,NA,NA,11.53846154,NA,0.20625,0
Colman and Schimel,"Sedgwick Reserve, CA",49.5,4.5,NA,NA,3.3,0.3,NA,NA,NA,NA,11,NA,0.60625,0.0225
Colman and Schimel,"Sevilleta LTER, NM",4.5,0.9,NA,NA,0.3,0.06,NA,NA,NA,NA,5,NA,0.18125,0.03875
Colman and Schimel,"Sevilleta LTER, NM",3.45,0.75,NA,NA,0.23,0.05,NA,NA,NA,NA,4.6,NA,0.125,0.028125
Colman and Schimel,"Sevilleta LTER, NM",4.5,0.9,NA,NA,0.3,0.06,NA,NA,NA,NA,5,NA,0.20625,0.043125
Colman and Schimel,"Sevilleta LTER, NM",4.05,0.75,NA,NA,0.27,0.05,NA,NA,NA,NA,5.4,NA,0.175,0.0325
Colman and Schimel,"Toolik Lake LTER, AK",105,5.7,NA,NA,7,0.38,NA,NA,NA,NA,18.42105263,NA,0.73125,NA
Colman and Schimel,"Toolik Lake LTER, AK",237,14.4,NA,NA,15.8,0.96,NA,NA,NA,NA,16.45833333,NA,0.95,0.03125
Colman and Schimel,"Toolik Lake LTER, AK",81,3.3,NA,NA,5.4,0.22,NA,NA,NA,NA,24.54545455,NA,1.29375,0
Colman and Schimel,"Valles Caldera National Preserve, NM",85.5,4.95,NA,NA,5.7,0.33,NA,NA,NA,NA,17.27272727,NA,1.05625,NA
Colman and Schimel,"Valles Caldera National Preserve, NM",51,4.5,NA,NA,3.4,0.3,NA,NA,NA,NA,11.33333333,NA,0.4125,0.044375
Xu et al.,Restored minesite,40.35,0.945,0.096,0.0105,2.69,0.063,0.0064,0.0007,0.237918216,1.111111111,42.6984127,NA,NA,NA
Xu et al.,copper mining wasteland,12.315,2.64,0.1239,0.02295,0.821,0.176,0.00826,0.00153,1.006090134,0.869318182,4.664772727,NA,NA,NA
Xu et al.,copper mining wasteland,12.99,2.76,0.2376,0.03105,0.866,0.184,0.01584,0.00207,1.829099307,1.125,4.706521739,NA,NA,NA
Xu et al.,copper mining wasteland,13.545,2.88,0.32325,0.04035,0.903,0.192,0.02155,0.00269,2.38648948,1.401041667,4.703125,NA,NA,NA
Xu et al.,copper mining wasteland,18.675,3.075,0.3486,0.04125,1.245,0.205,0.02324,0.00275,1.866666667,1.341463415,6.073170732,NA,NA,NA
Xu et al.,copper mining wasteland,19.32,3.135,0.96975,0.09975,1.288,0.209,0.06465,0.00665,5.019409938,3.181818182,6.162679426,NA,NA,NA
Xu et al.,copper mining wasteland,18.495,3.24,1.0926,0.10515,1.233,0.216,0.07284,0.00701,5.907542579,3.24537037,5.708333333,NA,NA,NA
Xu et al.,copper mining wasteland,20.865,3.075,1.33725,0.1257,1.391,0.205,0.08915,0.00838,6.409058231,4.087804878,6.785365854,NA,NA,NA
Xu et al.,copper mining wasteland,21.195,3.225,1.46925,0.1359,1.413,0.215,0.09795,0.00906,6.932059448,4.213953488,6.572093023,NA,NA,NA
Xu et al.,Xanthium strumarium,0,1.17,0.3705,0,0,0.078,0.0247,0,NA,0,0,NA,NA,NA
Xu et al.,Mine spoils,0,1.155,0.498,0.0405,0,0.077,0.0332,0.0027,NA,3.506493506,0,NA,NA,NA
Xu et al.,0,18.75,1.95,0.2571,0,1.25,0.13,0.01714,0,1.3712,0,9.615384615,NA,NA,NA
Xu et al.,0,24.3,2.4,0.13185,0,1.62,0.16,0.00879,0,0.542592593,0,10.125,NA,NA,NA
Xu et al.,"spruce, pine",65.7,4.2,1.8105,0.126,4.38,0.28,0.1207,0.0084,2.755707763,3,15.64285714,NA,NA,NA
Xu et al.,"spruce, pine",39.6,2.7,1.344,0.141,2.64,0.18,0.0896,0.0094,3.393939394,5.222222222,14.66666667,NA,NA,NA
Xu et al.,"spruce, pine",53.55,3.3,1.176,0.12,3.57,0.22,0.0784,0.008,2.196078431,3.636363636,16.22727273,NA,NA,NA
Xu et al.,"spruce, pine",74.4,4.65,3.0375,0.2205,4.96,0.31,0.2025,0.0147,4.08266129,4.741935484,16,NA,NA,NA
Xu et al.,"spruce, pine",61.65,3.9,2.046,0.264,4.11,0.26,0.1364,0.0176,3.318734793,6.769230769,15.80769231,NA,NA,NA
Xu et al.,Norway spruce,808.5,30.3,6.636,0.9645,53.9,2.02,0.4424,0.0643,0.820779221,3.183168317,26.68316832,NA,NA,NA
Xu et al.,Norway spruce,817.5,30.6,4.9485,0.765,54.5,2.04,0.3299,0.051,0.605321101,2.5,26.71568627,NA,NA,NA
Xu et al.,Norway spruce,804,29.7,4.158,0.5715,53.6,1.98,0.2772,0.0381,0.517164179,1.924242424,27.07070707,NA,NA,NA
Xu et al.,Norway spruce,790.5,26.7,5.9415,0.9585,52.7,1.78,0.3961,0.0639,0.751612903,3.58988764,29.60674157,NA,NA,NA
Xu et al.,Norway spruce,765,27.6,6.471,1.077,51,1.84,0.4314,0.0718,0.845882353,3.902173913,27.7173913,NA,NA,NA
Xu et al.,Norway spruce,1113,44.55,11.9775,1.8795,74.2,2.97,0.7985,0.1253,1.076145553,4.218855219,24.98316498,NA,NA,NA
Xu et al.,Norway spruce,667.5,23.7,9.9225,1.494,44.5,1.58,0.6615,0.0996,1.486516854,6.303797468,28.16455696,NA,NA,NA
Xu et al.,Norway spruce,793.5,26.7,8.37,1.266,52.9,1.78,0.558,0.0844,1.054820416,4.741573034,29.71910112,NA,NA,NA
Xu et al.,Norway spruce,726,24.75,9.774,1.4025,48.4,1.65,0.6516,0.0935,1.346280992,5.666666667,29.33333333,NA,NA,NA
Xu et al.,Norway spruce,816,32.7,11.787,1.7955,54.4,2.18,0.7858,0.1197,1.444485294,5.490825688,24.95412844,NA,NA,NA
Xu et al.,Norway spruce,820.5,29.7,9.8325,1.4055,54.7,1.98,0.6555,0.0937,1.198354662,4.732323232,27.62626263,NA,NA,NA
Xu et al.,Norway spruce,876,33.45,11.5305,1.614,58.4,2.23,0.7687,0.1076,1.316267123,4.825112108,26.18834081,NA,NA,NA
Xu et al.,Norway spruce,735,32.55,10.884,1.9725,49,2.17,0.7256,0.1315,1.480816327,6.059907834,22.58064516,NA,NA,NA
Xu et al.,Norway spruce,790.5,30.15,9.444,1.4715,52.7,2.01,0.6296,0.0981,1.194686907,4.880597015,26.21890547,NA,NA,NA
Xu et al.,Norway spruce,838.5,27.3,9.057,1.2195,55.9,1.82,0.6038,0.0813,1.080143113,4.467032967,30.71428571,NA,NA,NA
Xu et al.,Norway spruce,975,34.8,8.4555,1.362,65,2.32,0.5637,0.0908,0.867230769,3.913793103,28.01724138,NA,NA,NA
Xu et al.,Birch woodland,721.5,19.95,17.4,0,48.1,1.33,1.16,0,2.411642412,0,36.16541353,NA,NA,NA
Xu et al.,Birch woodland,705,18.9,18.15,0,47,1.26,1.21,0,2.574468085,0,37.3015873,NA,NA,NA
Xu et al.,Birch woodland,682.5,19.05,15.9,0,45.5,1.27,1.06,0,2.32967033,0,35.82677165,NA,NA,NA
Xu et al.,Birch woodland,651,17.85,17.4,0,43.4,1.19,1.16,0,2.67281106,0,36.47058824,NA,NA,NA
Xu et al.,mixed forest,729,16.65,10.9215,0,48.6,1.11,0.7281,0,1.498148148,0,43.78378378,NA,NA,NA
Xu et al.,mixed forest,727.5,17.25,7.9395,0,48.5,1.15,0.5293,0,1.091340206,0,42.17391304,NA,NA,NA
Xu et al.,mixed forest,673.5,18.6,3.597,0,44.9,1.24,0.2398,0,0.534075724,0,36.20967742,NA,NA,NA
Xu et al.,brich,900,30,22.2,2.4,60,2,1.48,0.16,2.466666667,8,30,NA,NA,NA
Xu et al.,spruce,838.5,25.5,17.4,1.83,55.9,1.7,1.16,0.122,2.075134168,7.176470588,32.88235294,NA,NA,NA
Xu et al.,pine,855,22.5,15.3,1.5,57,1.5,1.02,0.1,1.789473684,6.666666667,38,NA,NA,NA
Xu et al.,0,0,27.3,0,0.75285,0,1.82,0,0.05019,NA,2.757692308,0,NA,NA,NA
Xu et al.,0,0,25.95,0,0.52485,0,1.73,0,0.03499,NA,2.022543353,0,NA,NA,NA
Xu et al.,0,0,30,0,1.2309,0,2,0,0.08206,NA,4.103,0,NA,NA,NA
Xu et al.,0,0,30.3,0,0.74445,0,2.02,0,0.04963,NA,2.456930693,0,NA,NA,NA
Xu et al.,"Cladina lichens, and pine pinus sylvestris L.",0,0,0,0.4788,0,0,0,0.03192,NA,NA,NA,NA,NA,NA
Xu et al.,"Cladina lichens, and pine pinus sylvestris L.",0,0,0,0.5724,0,0,0,0.03816,NA,NA,NA,NA,NA,NA
Xu et al.,"Cladina lichens, and pine pinus sylvestris L.",0,0,0,0.6318,0,0,0,0.04212,NA,NA,NA,NA,NA,NA
Xu et al.,"Cladina lichens, and pine pinus sylvestris L.",0,0,0,0.06045,0,0,0,0.00403,NA,NA,NA,NA,NA,NA
Xu et al.,"Cladina lichens, and pine pinus sylvestris L.",0,0,0,0.3198,0,0,0,0.02132,NA,NA,NA,NA,NA,NA
Xu et al.,"Cladina lichens, and pine pinus sylvestris L.",0,0,0,0.48855,0,0,0,0.03257,NA,NA,NA,NA,NA,NA
Xu et al.,"Cladina lichens, and pine pinus sylvestris L.",0,0,0,0.60555,0,0,0,0.04037,NA,NA,NA,NA,NA,NA
Xu et al.,"Cladina lichens, and pine pinus sylvestris L.",0,0,0,0.5139,0,0,0,0.03426,NA,NA,NA,NA,NA,NA
Xu et al.,"Cladina lichens, and pine pinus sylvestris L.",0,0,0,0.0207,0,0,0,0.00138,NA,NA,NA,NA,NA,NA
Xu et al.,"Cladina lichens, and pine pinus sylvestris L.",0,0,0,0.49545,0,0,0,0.03303,NA,NA,NA,NA,NA,NA
Xu et al.,Pine or spruce Picea abies Karst.,0,0,0,0.7233,0,0,0,0.04822,NA,NA,NA,NA,NA,NA
Xu et al.,Pine or spruce Picea abies Karst.,0,0,0,0.30855,0,0,0,0.02057,NA,NA,NA,NA,NA,NA
Xu et al.,Pine or spruce Picea abies Karst.,0,0,0,0.1683,0,0,0,0.01122,NA,NA,NA,NA,NA,NA
Xu et al.,Pine or spruce Picea abies Karst.,0,0,0,0.18975,0,0,0,0.01265,NA,NA,NA,NA,NA,NA
Xu et al.,Pine or spruce Picea abies Karst.,0,0,0,0.60495,0,0,0,0.04033,NA,NA,NA,NA,NA,NA
Xu et al.,Pine or spruce Picea abies Karst.,0,0,0,1.8855,0,0,0,0.1257,NA,NA,NA,NA,NA,NA
Xu et al.,Pine or spruce Picea abies Karst.,0,0,0,0.2808,0,0,0,0.01872,NA,NA,NA,NA,NA,NA
Xu et al.,Pine or spruce Picea abies Karst.,0,0,0,0.09075,0,0,0,0.00605,NA,NA,NA,NA,NA,NA
Xu et al.,Pine or spruce Picea abies Karst.,0,0,0,0.3369,0,0,0,0.02246,NA,NA,NA,NA,NA,NA
Xu et al.,Pine or spruce Picea abies Karst.,0,0,0,0.46335,0,0,0,0.03089,NA,NA,NA,NA,NA,NA
Xu et al.,Picea abies,661.5,22.5,3.09,0,44.1,1.5,0.206,0,0.467120181,0,29.4,NA,NA,NA
Xu et al.,Pinus sylvestris,10.5,0.75,0.0555,0,0.7,0.05,0.0037,0,0.528571429,0,14,NA,NA,NA
Xu et al.,0,0,0,2.90625,0.6328125,0,0,0.19375,0.0421875,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,3.609375,0.5859375,0,0,0.240625,0.0390625,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,3.4921875,0.6328125,0,0,0.2328125,0.0421875,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,3.3515625,0.6328125,0,0,0.2234375,0.0421875,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,3.8671875,0.5859375,0,0,0.2578125,0.0390625,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,3.46875,0.3984375,0,0,0.23125,0.0265625,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,2.859375,0.3984375,0,0,0.190625,0.0265625,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,2.8359375,0.4453125,0,0,0.1890625,0.0296875,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,3.9140625,0.5859375,0,0,0.2609375,0.0390625,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,3.046875,0.515625,0,0,0.203125,0.034375,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,2.2265625,0.421875,0,0,0.1484375,0.028125,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,2.1328125,0.46875,0,0,0.1421875,0.03125,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,2.15625,0.3984375,0,0,0.14375,0.0265625,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,3.0703125,0.515625,0,0,0.2046875,0.034375,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.062236287,0.010548523,0,0,0.004149086,0.000703235,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.081223629,0.010548523,0,0,0.005414909,0.000703235,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.073839662,0.007383966,0,0,0.004922644,0.000492264,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.064345992,0.012658228,0,0,0.004289733,0.000843882,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.078059072,0.014767932,0,0,0.005203938,0.000984529,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.075949367,0.012658228,0,0,0.005063291,0.000843882,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.082278481,0.004219409,0,0,0.005485232,0.000281294,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.079113924,0.009493671,0,0,0.005274262,0.000632911,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.066455696,0.007383966,0,0,0.00443038,0.000492264,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.067510549,0.007383966,0,0,0.004500703,0.000492264,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.065400844,0.012658228,0,0,0.004360056,0.000843882,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.071729958,0.010548523,0,0,0.004781997,0.000703235,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.071729958,0.011603376,0,0,0.004781997,0.000773558,NA,NA,NA,NA,NA,NA
Xu et al.,0,0,0,0.071729958,0.010548523,0,0,0.004781997,0.000703235,NA,NA,NA,NA,NA,NA
Xu et al.,"Picea obovata, Larix sibirica, Equisetum pratense, Rubus arcticus, Hylocomium proliferum, Cladonia sp.",35.25,1.947513812,0,0,2.35,0.129834254,0,0,0,0,18.1,NA,NA,NA
Xu et al.,"Picea obovata, Pinus sibirica, Equisetum sylvaticum, Rubus chamaemorus, Hylocomium proliferum, Sphagnum sp.",28.8,1.2,0,0,1.92,0.08,0,0,0,0,24,NA,NA,NA
Xu et al.,"Pinus sibirica, Picea obovata, Equisetum sp., Linnaea borealis, Maja themum, bifolium, Trientalis europea, Vaccinium vitis idaea, Pyrola rotundifolia, Hylocomium proliferum",32.7,1.651515152,0,0,2.18,0.11010101,0,0,0,0,19.8,NA,NA,NA
Xu et al.,Bilberry spruce-pine forest,16.2,0,0.6585,0,1.08,0,0.0439,0,4.064814815,NA,NA,NA,NA,NA
Xu et al.,Green moss pine forest,8.25,0,0.3855,0,0.55,0,0.0257,0,4.672727273,NA,NA,NA,NA,NA
Xu et al.,Bilberry spruce forest,20.1,0,1.1385,0,1.34,0,0.0759,0,5.664179104,NA,NA,NA,NA,NA
Xu et al.,Lime-spruce forest,37.8,0,1.1325,0,2.52,0,0.0755,0,2.996031746,NA,NA,NA,NA,NA
Xu et al.,Bilberry spruce forest,21.6,0,0.7455,0,1.44,0,0.0497,0,3.451388889,NA,NA,NA,NA,NA
Xu et al.,Spruce-small-leaved forest,28.5,0,1.0695,0,1.9,0,0.0713,0,3.752631579,NA,NA,NA,NA,NA
Xu et al.,Fern pine-forest,23.1,0,0.1875,0,1.54,0,0.0125,0,0.811688312,NA,NA,NA,NA,NA
